ลำดับที่,รหัสสินค้า,รายละเอียดสินค้า,ชื่อภาษาไทย,"ปริมาณขวด
(ต่อ 1 ลัง)","ปริมาณ
ต่อขวด
(ลิตร)","Alcohol
Content",
168,P-003,PENFOLDS Rwsn Ret Cabernet Shiraz Red ,เพนโฟลต์  รอสัน รีท กาแบเน โซวิยอง ชิราท เรด   0.75 ลิตร,6,0.75,13.50%,
169,R-001,ROBERT MONDAVI WINERY CABERNET SAUVIGNON ,โรเบริด มอนเดวี่ วินนี่ คาร์เบอร์เน็ต ซาวิญอง,12, 0.750 ,13.50%,
170,R-002,ROBERT MONDAVI  TWIN OAKS  INTL CABERNET SAUVIGNON CA INT  ,โรเบริด มอนเดวี่  ทวินโอ๊ค คาร์เบอร์เน็ต ซาวิญอง ,6, 0.750 ,13.50%,
171,R-003,ROBERT MONDAVI TWIN OAKS INTL CHARDONNAY  CA INT,โรเบริด มอนเดวี่  ทวินโอ๊ค  ชาร์โดเนย์,6, 0.750 ,13.50%,
172,R-004,ROBERT MONDAVI CABERNET SAUVIGNON  2015,โรเบริด มอนเดวี่  คาร์เบอร์เน็ต ซาวิญอง 2015,12, 0.750 ,14.50%,
173,R-005,ROBERT MONDAVI PRIVATE SELECTION CABERNET SAUVIGNON 2015,โรเบริด มอนเดวี่  ไพรเวท ซีเลคชั่น  คาร์เบอร์เน็ต โซวิญอง  2015,12, 0.750 ,13.50%,
174,R-006,ROBERT MONDAVI  RESERVE CABERNET SAUVIGNON  ,โรเบริด มอนเดวี่  รีเซอวี่  คาร์เบอร์เน็ต ซาวิญอง,6, 0.750 ,14.00%,
175,R-007,ROBERT MONDAVI NAPA VALLEY CABERNET SAUVIGNON ,โรเบริด โมเดวี่ นาป้า เวลลี่  คาร์เบอร์เน็ต ซาวิญอง 0.75 ลิตร,12, 0.750 ,15.00%,
176,R-008,ROBERT MONDAVI MESTRO 2014 ,โรเบริด มอนเดวี่  มาสโทร 2014,6, 0.750 ,14.50%,
177,R-009,ROBERT MONDAVI OAKVILLE  2014 ,โรเบริด มอนเดวี่  โอ๊ค 2014,6, 0.750 ,15.00%,
178,R-010,ROBERT MONDAVI NAPA CABERNET,โรเบริด โมเดวี่ นาป้า คาร์เบอร์เน็ต,12, 0.750 ,14.50%,
179,R-011,ROBERT MONDAVI MESTRO 2013 ,โรเบริด มอนเดวี่  มาสโทร 2013,6, 0.750 ,14.50%,
180,R-012,ROBERT MONDAVI  OAKVILLE  CABERNET 2011 ,โรเบริด โมเดวี่ โอ๊ค คาร์เบอร์เน็ต 2011,6, 0.750 ,14.00%,
181,R-013,ROBERT MONDAVI RESERVE CABERNET 2011 ,โรเบริด มอนเดวี่  รีเซอวี่  คาร์เบอร์เน็ต  2011,6, 0.750 ,14.00%,
182,R-014,REMY MARTIN XO  ,เรมี่ มาติน เอ็ก โอ,12, 0.700 ,40.00%,
183,R-015,REMY MARTIN VSOP  ,เรมี่ มาติน วีเอสโอพี,12, 1.000 ,40.00%,
184,R-016,REMY MARTIN VSOP ,เรมี่ มาติน วีเอสโอพี,6, 1.750 ,40.00%,
185,R-017,ROBERT MONDAVI WINERY RESERVE CABERNET SAUVIGNON NAPA VALLEY 2014 ,โรเบิร์ต มอนดาวี่ รีเซิฟ แคเบอเน็ต ซอวีญอน,6, 0.750 ,14.50%,
186,R-018,ROBERT MONDAVI WINERY  CABERNET SAUVIGNON NAPA VALLEY 2014   ,โรเบิร์ต มอนดาวี่ แคเบอเน็ต ซอวีญอน นาป้า 2014,12, 0.750 ,15.00%,
187,R-019,ROBERT MONDAVI PRIVATE SELECTION 2016,โรเบริด มอนเดวี่  ไพรเวท ซีเลคชั่น 2016,12, 0.750 ,14.50%,
188,R-020,ROBERT MONDAVI NAPA CABERNET SAUVIGNON 2016,โรเบริด มอนเดวี่  นาป้า คาร์เบอร์เน็ต ซาวิญอง 2016,12, 0.750 ,14.00%,
189,R-021,ROBERT MONDAVI  WINERY  CABERNET SAUVIGNON  NAPA VALLEY 2015,โรเบิร์ต มอนดาวี่ แคเบอเน็ต ซอวีญอน นาป้า 2015,12, 0.750 ,15.00%,
190,R-022,ROBERT MONDAVI CABERNET SAUVIGNON  ,โรเบริด มอนเดวี่  คาร์เบอร์เน็ต ซาวิญอง,12, 0.750 ,14.50%,
191,R-023,ROBERT MONDAVI MERLOT,โรเบิร์ต มอนดาวี่ เมอโร่,12, 0.750 ,14.00%,
192,R-024,ROBERT MONDAVI PRIVATE SELECTION ,โรเบริด มอนเดวี่  ไพรเวท ซีเลคชั่น,12, 0.750 ,14.50%,
193,R-025,ROBERT MONDAVI  OAKVILLE  CABERNET ,โรเบริด โมเดวี่ โอ๊ค คาร์เบอร์เน็ต,6, 0.750 ,14.50%,
194,S-001,SANTA RITA HEROES CABERNET SAUVIGNON ,ซานต้า ริต้า ฮีโร่,6, 0.750 ,13.00%,
195,S-002,SANTA RITA RESERVA CABERNET SAUVIGNON,ซานต้า ริต้า รีเซิฟ,12, 0.750 ,13.50%,
196,S-003,SMIRNOFF RED,สเมอร์นอฟ เรด 1 ลิตร,8, 1.000 ,40.00%,
197,S-004,SMIRNOFF RED,สเมอร์นอฟ เรด 1 ลิตร,12, 1.000 ,40.00%,
198,S-005,STELLA ARTOIS BEER BOTTLE ,สะเตลล่า อาโตส เบียร์,24, 0.330 ,5.00%,
199,S-006,SINGLETON OF GLEN ORD 12YO,ซิงเกิลตัน,6, 0.700 ,40.00%,
200,T-001,TIANCHAO SHANG PIN GUIRENJIU  ,เหล้าจีน,6, 0.500 ,53.00%,
201,T-002,TAIWAN SWEET TOUCH WHITE GRAPE BEER ,เบียร์ ไต้หวัน องุ่นขาว หวาน,24, 0.330 ,3.50%,
202,T-003,TEQUILA PATRON REPOSADO,เตกีล่า พาตรอน เรโพซาโด้ 0.75 ลิตร,12, 0.750 ,40.00%,
