รหัสสินค้า,ชื่อสินค้า,จำนวนขวด/ลัง, ปริมาณลิตร/ขวด ,แอลกอฮอล %,พิกัด,ชนิดสินค้า,ประเทศ,เลข 28 หลัก,วันที่ 28 หลัก,สต็อก,Invoice No: ,วันที่ Invoice ,ใบขนขาเข้า,วันที่ใบขน,รายการที่,เลขที่ใบอนุญาต,วันที่ใบอนุญาต,เลขที่ กนอ.ขาเข้า,วันที่ กนอ., จำนวนสินค้าเข้า , ราคา ,เรตไทย,เงินรวม,จำนวนสินค้าคงเหลือ,ราคาต้นทุน (บาท),ชื่อภาษาไทย,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-005,CHIVAS REGAL 18YO ,6, 1.000 ,40.00%,22083000,วิสกี้,GB,1302020200OTy000000250150701  ,04/12/2017,หลัก,JLD05/2019,29/04/2019,A0080620507581,08/05/2019,6,2562/0050-62-853-00223,30/04/2019,3-2-42-118498-2562,11/01/2019,15, 245.00 ,32.0022," 117,608.09 ",15," 7,840.54 ",ชีวาส รีกัล 18 ปี 1 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-006,CHIVAS REGAL ROYAL SALUTE 21YO ,6, 0.700 ,40.00%,22083000,วิสกี้,GB,1302020200PBi000000257990701,04/12/2017,หลัก,JLD13/2019  ,01/11/2019,A0120621100553,11/11/2019,4,2563/0050-63-853-00047,07/11/2019,3-2-42-118498-2562,11/01/2019,185, 335.00 ,30.4598," 1,887,746.11 ",10," 10,204.03 ",ชีวาส รีกัล รอ-ยัล ซาลูต 21 ปี 0.70 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-007,CHIVAS REGAL ROYAL SALUTE 21YO,6, 1.000 ,40.00%,22083000,วิสกี้,GB,1302020200PBi000000250150701,02/02/2018,หลัก,JLD13/2018  ,07/09/2018,A0130610913074,13/09/2018,1,2561/0050-61-853-00436,11/09/2018,3-2-42-114049-2561,12/01/2018,20, 530.00 ,33.1120," 350,987.20 ",15," 17,549.36 ",ชีวาส รีกัล รอ-ยัล ซาลูต 21 ปี  1 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-007,CHIVAS REGAL ROYAL SALUTE 21YO,6, 1.000 ,40.00%,22083000,วิสกี้,GB,1302020200PBi000000250150701,02/02/2018,หลัก,JLD11/2019  ,30/09/2019,A0170621013236,14/10/2019,6,2563/0050-63-853-00012,11/10/2019,3-2-42-118498-2562,11/01/2019,10, 560.00 ,30.7012," 171,926.72 ",10," 17,192.67 ",ชีวาส รีกัล รอ-ยัล ซาลูต 21 ปี  1 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-008,CHIVAS REGAL 25YO ,3, 0.700 ,40.00%,22083000,วิสกี้,GB,1302020200OUD000000250130701,04/12/2017,หลัก,JLD13/2018  ,07/09/2018,A0130610913074,11/09/2018,2,2561/0050-61-853-00436,11/09/2018,3-2-42-114049-2561,12/01/2018,10, 465.00 ,33.1120," 153,970.80 ",5," 15,397.08 ",ชีวาส รีกัล 25 ปี 0.70 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-008,CHIVAS REGAL 25YO ,3, 0.700 ,40.00%,22083000,วิสกี้,GB,1302020200OUD000000250130701,04/12/2017,หลัก,JLD13/2018  ,07/09/2018,A0130610913074,11/09/2018,3,2561/0050-61-853-00436,11/09/2018,3-2-42-114049-2561,12/01/2018,20, 465.00 ,33.1120," 307,941.60 ",20," 15,397.08 ",ชีวาส รีกัล 25 ปี 0.70 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-008,CHIVAS REGAL 25YO ,3, 0.700 ,40.00%,22083000,วิสกี้,GB,1302020200OUD000000250130701,04/12/2017,หลัก,JLD03/2019  ,11/03/2019,A0150620308756,15/03/2019,4,2562/0050-62-853-00169,12/03/2019,3-2-42-118498-2562,11/01/2019,20, 460.00 ,31.3607," 288,518.44 ",20," 14,425.92 ",ชีวาส รีกัล 25 ปี 0.70 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-008,CHIVAS REGAL 25YO ,3, 0.700 ,40.00%,22083000,วิสกี้,GB,1302020200OUD000000250130701,04/12/2017,หลัก,JLD13/2019  ,01/11/2019,A0120621100553,11/11/2019,10,2563/0050-63-853-00047,07/11/2019,3-2-42-118498-2562,11/01/2019,1, 460.00 ,30.4598," 14,011.51 ",1," 14,011.51 ",ชีวาส รีกัล 25 ปี 0.70 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-009,CHIVAS REGAL ROYAL SALUTE  32YO ,3, 0.500 ,40.00%,22083000,วิสกี้,GB,1302020200THM000000250670701,09/07/2018,หลัก ,,,,,,,,,,,,,,,,ชีวาส รีกัล,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-010,CHATEAU CLERC MILON 1997 PAUILLAC ,12, 0.750 ,12.50%,22042111,ไวน์,FR,1301020200DGb000000293DE0701,02/02/2018,หลัก ,,,,,,,,,,,,,,,,ตุ๊กตาคู่ 1997,,,,,,,,,,,,,,,,,,,,,,,,,,,
