รหัสสินค้า,ชื่อสินค้า,จำนวนขวด/ลัง, ปริมาณลิตร/ขวด ,แอลกอฮอล %,พิกัด,ชนิดสินค้า,ประเทศ,เลข 28 หลัก,วันที่ 28 หลัก,สต็อก,Invoice No: ,วันที่ Invoice ,ใบขนขาเข้า,วันที่ใบขน,รายการที่,เลขที่ใบอนุญาต,วันที่ใบอนุญาต,เลขที่ กนอ.ขาเข้า,วันที่ กนอ., จำนวนสินค้าเข้า , ราคา ,เรตไทย,เงินรวม,จำนวนสินค้าคงเหลือ,ราคาต้นทุน (บาท),ชื่อภาษาไทย,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-006,ROBERT MONDAVI  RESERVE CABERNET SAUVIGNON 2015,6, 0.750 ,14.00%,22042111,ไวน์,US,1301020200I8H000000320140701,13/11/2018,หลัก,JLD06/2019,02/05/2019,A0280620507084,28/05/2019,1,2562/0050-62-853-00236,16/05/2019,3-2-42-118498-2562,11/01/2019,5, 588.00 ,32.0022," 94,086.47 ",5," 18,817.29 ",โรเบริด มอนเดวี่  รีเซอวี่  คาร์เบอร์เน็ต ซาวิญอง,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-007,ROBERT MONDAVI NAPA VALLEY CABERNET SAUVIGNON ,12, 0.750 ,15.00%,22042111,ไวน์,USA,1301020100CEo000000030140701,04/12/2017,หลัก,,,,,,,,,,,,,,,,โรเบริด โมเดวี่ นาป้า เวลลี่  คาร์เบอร์เน็ต ซาวิญอง 0.75 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-008,ROBERT MONDAVI MESTRO 2014 ,6, 0.750 ,14.50%,22042111,ไวน์,USA,1301020100Gpm000000033hE0701,02/08/2019,หลัก,JLD12/2019 ,10/10/2019,A0140621112313,12/11/2019,5,2563/0050-63-853-00048,11/11/2019,3-2-42-118498-2562,11/01/2019,250, 168.00 ,30.4598," 1,279,311.60 ",215," 5,117.25 ",โรเบริด มอนเดวี่  มาสโทร 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-008,ROBERT MONDAVI MESTRO 2014 ,6, 0.750 ,14.50%,22042111,ไวน์,USA,1301020100Gpm000000033hE0701,02/08/2019,สต็อกพี่วิท,JLD014/2018,01/10/2018,A0100611005257,10/10/2018,3,2562/0050-62-853-00002,05/10/2018,3-2-42-114049-2561,12-Jan-18,70, 145.00 ,32.7024," 331,929.36 ",30," 4,741.85 ",โรเบริด มอนเดวี่  มาสโทร 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-009,ROBERT MONDAVI OAKVILLE 2014 ,6, 0.750 ,15.00%,22042111,ไวน์,USA,1301020200Gpn000000030140701,29/08/2018,หลัก,JLD12/2019 ,10/10/2019,A0140621112313,12/11/2019,4,2563/0050-63-853-00048,11/11/2019,3-2-42-118498-2562,11/01/2019,100, 204.00 ,30.4598," 621,379.92 ",81," 6,213.80 ",โรเบริด มอนเดวี่  โอ๊ค 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-010,ROBERT MONDAVI NAPA CABERNET,12, 0.750 ,14.50%,22042111,ไวน์,US,1301020100HZt000000330140701,05/10/2018,หลัก,,,,,,,,,,,,,,,,โรเบริด โมเดวี่ นาป้า คาร์เบอร์เน็ต,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-011,ROBERT MONDAVI MESTRO 2013 ,6, 0.750 ,14.50%,22042111,ไวน์,US,1301020100HZu000000330140701,05/10/2018,หลัก,,,,,,,,,,,,,,,,โรเบริด มอนเดวี่  มาสโทร 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-012,ROBERT MONDAVI  OAKVILLE  CABERNET 2011 ,6, 0.750 ,14.00%,22042111,ไวน์,US,1301020100HZv000000320140701,05/10/2018,หลัก,,,,,,,,,,,,,,,,โรเบริด โมเดวี่ โอ๊ค คาร์เบอร์เน็ต 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-013,ROBERT MONDAVI RESERVE CABERNET 2011 ,6, 0.750 ,14.00%,22042111,ไวน์,US,1301020200HZw000000320140701,05/10/2018,หลัก,,,,,,,,,,,,,,,,โรเบริด มอนเดวี่  รีเซอวี่  คาร์เบอร์เน็ต  2011,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-014,REMY MARTIN XO  ,12, 0.700 ,40.00%,22082050,บรั่นดี,FR,1302020200H7O000000257990701,01/08/2018,หลัก,,,,,,,,,,,,,,,,เรมี่ มาติน เอ็ก โอ,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-015,REMY MARTIN VSOP  ,12, 1.000 ,40.00%,22082050,บรั่นดี,FR,1302020200NqV000000259Bh0701,01/08/2018,หลัก,,,,,,,,,,,,,,,,เรมี่ มาติน วีเอสโอพี,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-016,REMY MARTIN VSOP ,6, 1.750 ,40.00%,22082050,บรั่นดี,FR,1302020200NqV000000250880701,05/10/2018,หลัก,,,,,,,,,,,,,,,,เรมี่ มาติน วีเอสโอพี,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-017,ROBERT MONDAVI WINERY RESERVE CABERNET SAUVIGNON NAPA VALLEY 2014 ,6, 0.750 ,14.50%,22042111,ไวน์,US,ในประเทศ,,หลัก,,,,,,,,,,,,,,,,โรเบิร์ต มอนดาวี่ รีเซิฟ แคเบอเน็ต ซอวีญอน,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-018,ROBERT MONDAVI WINERY CABERNET SAUVIGNON NAPA VALLEY 2014   ,12, 0.750 ,15.00%,22042111,ไวน์,US,ในประเทศ,,หลัก,,,,,,,,,,,,,,,,โรเบิร์ต มอนดาวี่ แคเบอเน็ต ซอวีญอน นาป้า 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-019,ROBERT MONDAVI PRIVATE SELECTION 2016,12, 0.750 ,14.50%,22042111,ไวน์,US,1301020100Knm003PN0330140701,16/05/2019,หลัก,,,,,,,,,,,,,,,,โรเบริด มอนเดวี่  ไพรเวท ซีเลคชั่น 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-020,ROBERT MONDAVI NAPA CABERNET SAUVIGNON 2016,12, 0.750 ,14.00%,22042111,ไวน์,US,1301020100Knn003PN0320140701,16/05/2019,หลัก,,,,,,,,,,,,,,,,โรเบริด มอนเดวี่  นาป้า คาร์เบอร์เน็ต ซาวิญอง 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-021,ROBERT MONDAVI WINERY CABERNET SAUVIGNON  NAPA VALLEY 2015,12, 0.750 ,15.00%,22042111,ไวน์,US,ในประเทศ,,หลัก,,,,,,,,,,,,,,,,โรเบิร์ต มอนดาวี่ แคเบอเน็ต ซอวีญอน นาป้า 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-022,ROBERT MONDAVI CABERNET SAUVIGNON  ,12, 0.750 ,14.50%,22042111,ไวน์,US,1301020100NGD003PN0330140701,11/11/2019,หลัก,JLD12/2019  ,10/10/2019,A0140621112313,12/11/2019,1,2563/0050-63-853-00048,11/11/2019,3-2-42-118498-2562,11/01/2019,300, 67.20 ,30.4598," 614,069.57 ",290," 2,046.90 ",โรเบริด มอนเดวี่  คาร์เบอร์เน็ต ซาวิญอง,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-023,ROBERT MONDAVI MERLOT,12, 0.750 ,14.00%,22042111,ไวน์,US,1301020100NG5003PN0320140701,11/11/2019,หลัก,JLD12/2019  ,10/10/2019,A0140621112313,12/11/2019,2,2563/0050-63-853-00048,11/11/2019,3-2-42-118498-2562,11/01/2019,300, 67.20 ,30.4598," 614,069.57 ",251," 2,046.90 ",โรเบิร์ต มอนดาวี่ เมอโร่,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-024,ROBERT MONDAVI PRIVATE SELECTION ,12, 0.750 ,14.50%,22042111,ไวน์,US,1301020100IXw003PN0330140701,11/11/2019,หลัก,JLD14/2019 ,06/11/2019,A0020621218859,02/12/2019,1,2563/0050-63-853-00056,18/11/2019,3-2-42-118498-2562,11/01/2019,750, 102.00 ,30.3796," 2,324,039.40 ",451," 3,098.72 ",โรเบริด มอนเดวี่  ไพรเวท ซีเลคชั่น,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-025,ROBERT MONDAVI OAKVILLE  CABERNET ,6, 0.750 ,14.50%,22042111,ไวน์,US,1301020200NLK003PN0330140701,18/11/2019,หลัก,JLD14/2019 ,06/11/2019,A0020621218859,02/12/2019,3,2563/0050-63-853-00056,18/11/2019,3-2-42-118498-2562,11/01/2019,70, 204.00 ,30.3796," 433,820.69 ",70," 6,197.44 ",โรเบริด โมเดวี่ โอ๊ค คาร์เบอร์เน็ต,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-001,SANTA RITA HEROES CABERNET SAUVIGNON ,6, 0.750 ,13.00%,22042111,ไวน์,CL,1301020100GLG000000300140701,01/08/2018,หลัก,,,,,,,,,,,,,,,,ซานต้า ริต้า ฮีโร่,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-002,SANTA RITA RESERVA CABERNET SAUVIGNON,12, 0.750 ,13.50%,22042111,ไวน์,CL,1301020100GLH000000310140701,01/08/2018,หลัก,,,,,,,,,,,,,,,,ซานต้า ริต้า รีเซิฟ,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-003,SMIRNOFF RED,8, 1.000 ,40.00%,22086000,วอดก้า,GB,1302020200JmA000000250150702,07/09/2018,หลัก,,,,,,,,,,,,,,,,สเมอร์นอฟ เรด 1 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-004,SMIRNOFF RED,12, 1.000 ,40.00%,22086000,วอดก้า,GB,1302020200JmA000000250150701,07/09/2018,หลัก,JLD11/2018  ,03/09/2018,A0110610905765,11/09/2018,5,2561/0050-61-853-00434,07/09/2018,3-2-42-114049-2561,12-Jan-18,12, 66.00 ,33.1120," 26,224.70 ",10," 2,185.39 ",สเมอร์นอฟ เรด 1 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-005,STELLA ARTOIS BEER BOTTLE ,24, 0.330 ,5.00%,22030091,เบียร์,BE,1301010000GKF000000010550701,01/08/2018,หลัก,,,,,,,,,,,,,,,,สะเตลล่า อาโตส เบียร์,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-006,SINGLETON OF GLEN ORD 12YO,6, 0.700 ,40.00%,22083000,วิสกี้,GB,1302020200M1o000000257990701,18/03/2020,หลัก,,,,,,,,,,,,,,,,ซิงเกิลตัน,,,,,,,,,,,,,,,,,,,,,,,,,,,
T-001,TIAN CHAO SHANGPIN GUIRENJIU ,6, 0.500 ,53.00%,22089099,สุราจีน,CN,1302020200VMY000000EQ0670701,25/06/2018,หลัก,JLD05/2018  ,20/06/2018,A0020610714562,02/07/2018,1,2561/0050-61-853-00376,25/06/2018,3-2-42-114049-2561,12/01/2018,1150, 42.00 ,32.3039," 1,560,278.37 ",835," 1,356.76 ",เหล้าจีน,,,,,,,,,,,,,,,,,,,,,,,,,,,
T-001,TIAN CHAO SHANGPIN GUIRENJIU ,6, 0.500 ,53.00%,22089099,สุราจีน,CN,1302020200VMY000000EQ0670701,25/06/2018,หลัก,JLD15/2019  ,17/12/2019,A0250621203797,23/12/2019,9,2563/0050-63-853-00109,20/12/2019,3-2-42-118498-2562,11/01/2019,100, 43.00 ,30.3796," 130,632.28 ",100," 1,306.32 ",เหล้าจีน,,,,,,,,,,,,,,,,,,,,,,,,,,,
T-001,TIAN CHAO SHANGPIN GUIRENJIU ,6, 0.500 ,53.00%,22089099,สุราจีน,CN,1302020200VMY000000EQ0670701,25/06/2018,หลัก,JLD05/2020 ,18/03/2020,A0250630307139,20/03/2020,11,2563/0050-63-853-00241,18/03/2020,3-2-42-000175-2563,15/01/2020,100, 43.00 ,31.3800," 134,934.00 ",100," 1,349.34 ",เหล้าจีน,,,,,,,,,,,,,,,,,,,,,,,,,,,
T-002,TAIWAN SWEET TOUCH WHITE GRAPE BEER ,24, 0.330 ,3.50%,22030091,เบียร์,TW,1301010000GKG000000AW0550701,01/08/2018,หลัก,,,,,,,,,,,,,,,,เบียร์ ไต้หวัน องุ่นขาว หวาน,,,,,,,,,,,,,,,,,,,,,,,,,,,
T-003,TEQUILA PATRON REPOSADO ,12, 0.750 ,40.00%,22087090,เตกีล่า,GB,1302020200N7z000000259AK0701,15/03/2019,หลัก,,,,,,,,,,,,,,,,เตกีล่า พาตรอน เรโพซาโด้ 0.75 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
T-004,TEQUILA PATRON SILVER ,12, 0.750 ,40.00%,22087090,เตกีล่า,GB,1302020200ON0000000250140701,15/03/2019,หลัก,,,,,,,,,,,,,,,,เตกีล่า พาตรอน ซิลเวอร์ 0.75 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
U-001,URSUS VODKA NATUR ,6, 1.000 ,40.00%,22086000,วอดก้า,FR,1302020200MAv000000250150701,04/07/2018,สต็อกพิเศษ,JLD06/2018 ,02/07/2018,A0090610718297,09/07/2018,13,2561/0050-61-853-00385,04/07/2018,3-2-42-114049-2561,12/01/2018,179, 29.00 ,32.8452," 170,499.43 ",179, 952.51 ,เออซัส วอดก้า ,,,,,,,,,,,,,,,,,,,,,,,,,,,
U-002,URSUS VODKA NATUR ,2, 1.000 ,40.00%,22086000,วอดก้า,FR,1302020200MAv000000250150702,04/07/2018,สต็อกพิเศษ,JLD06/2018 ,02/07/2018,A0090610718297,09/07/2018,14,2561/0050-61-853-00385,04/07/2018,3-2-42-114049-2561,12/01/2018,1, 9.67 ,32.8452, 317.61 ,1, 317.61 ,เออซัส วอดก้า ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V-001,VIVRA CABERNET,6, 0.750 ,14.80%,22042111,ไวน์,US,1301020100NLJ003PN0EM0140701,18/11/2019,หลัก,,,,,,,,,,,,,,,,วีร่า แคเบอร์เน็ต,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-001,WOODBRIDGE BY MONDAVI MERLOT   ,12, 0.750 ,13.50%,22042111,ไวน์,US,1301020100CCW000000310140701,04/12/2017,หลัก,,,,,,,,,,,,,,,,วูดบริดจ์ มอนเดวี่ เมอร์ล๊อท 0.75 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-002,WOODBRIDGE CABERNET SAUVIGNON ,12, 0.750 ,13.50%,22042111,ไวน์,US,1301020100Fnb000000310140701,29/06/2018,หลัก,,,,,,,,,,,,,,,,วุดบริดจ์  คาเบอเน็ต ซาวิญอง  0.75 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-003,WOODBRIDGE BY MONDAVI PINOT NOIR,12, 0.750 ,13.00%,22042111,ไวน์,US,,,หลัก,,,,,,,,,,,,,,,,วูดบริดจ์ มอนเดวี่ พิโน-นัวร์ 0.75 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-004,WOODBRIDGE BY MONDAVI ZINFANDEL,12, 0.750 ,13.50%,22042111,ไวน์,US,,,หลัก,,,,,,,,,,,,,,,,วุดบริดจ์  มอนเดวี่ ซินแฟนเดล 0.75 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-005,WOODBRIDGE BY ROBERT MONDAVI CABERNET SAUVIGNON CALIFORNIA 2016,12, 0.750 ,13.50%,22042111,ไวน์,US,1301020100B9S000000310140701 ,30/04/2019,หลัก,,,,,,,,,,,,,,,,วุดบริดจ์ คาเบอเน็ต ซาวิญอง,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-006 ,WOODBRIDGE CABERNET,12, 0.750 ,15.00%,22042111,ไวน์,US,1301020100Lie003PN0033hE0701,05/08/2019,หลัก,JLD08/2019  ,26/07/2019,A0080620812781,08/08/2019,2,2562/0050-62-853-00301,02/08/2019,3-2-42-118498-2562,11/01/2019,50, 290.00 ,31.0324," 449,969.80 ",50," 8,999.40 ",วุดบริดจ์  คาเบอเน็ต,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-007,WHISKY PASSPORT SCOTCH ,12,1.000,40.00%,22083000,วิสกี้,GB,1302020200Wpc000000250150701,18/03/2020,หลัก,JLD04/2020 ,17/03/2020,A0250630307131,19/03/2020,10,2563/0050-63-853-00240,18/03/2020,3-2-42-000175-2563,15/01/2020,50, 90.00 ,31.3800," 141,210.00 ",50," 2,824.20 ",พาสปอร์ต,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-001,ZIPZ CABERNET SAUVIGNON ,24, 0.187 ,13.50%,22042111,ไวน์,US,1301020100H8B000000310020701,10/09/2018,หลัก,JLD12/2018  ,04/09/2018,A0130610909085,13/09/2018,2,2561/0050-61-853-00435,11/09/2018,3-2-42-114049-2561,12/01/2018,232, 9.00 ,33.1120," 69,137.86 ",232, 298.01 ,ซิป กาแบร์เน-โซวีญง   0.187 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-002,ZIPZ CARDONNAY,24, 0.187 ,13.50%,22042111,ไวน์,US,1301020100H8C000000310020701,10/09/2018,หลัก,JLD12/2018  ,04/09/2018,A0130610909085,13/09/2018,3,2561/0050-61-853-00435,11/09/2018,3-2-42-114049-2561,12/01/2018,99, 9.00 ,33.1120," 29,502.79 ",99, 298.01 ,ซิป ชาร์ดอนเนย์  ไวท์ ไวน์ 0.187 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-003,ZIPZ MOSCATO ,24, 0.187 ,13.50%,22042111,ไวน์,US,1301020100H8D000000310020701,10/09/2018,หลัก,JLD12/2018  ,04/09/2018,A0130610909085,13/09/2018,4,2561/0050-61-853-00435,11/09/2018,3-2-42-114049-2561,12/01/2018,10, 9.00 ,33.1120," 2,980.08 ",10, 298.01 ,ซิป มอสกาโต้ 0.187 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-001,100 PIPERS ,9, 1.000 ,40.00%,22083000,วิสกี้,GB,1302020200AUY000000259Bh0701,04/07/2018,สต็อกพิเศษ,JLD06/2018 ,02/07/2018,A0090610718297,09/07/2018,1,2561/0050-61-853-00385,04/07/2018,3-2-42-114049-2561,12/01/2018,1, 64.80 ,32.8452," 2,128.37 ",1," 2,128.37 ",ฮันเรส ไพเพร้อ,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-001,II FITTO SYRAH DOC CORTONA 2012 ,12, 0.750 ,14.00%,22042111,ไวน์,IT,1301020100GLC000000320140701,01/08/2018,หลัก,,,,,,,,,,,,,,,,ฟิตโต2 ไซร่า,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-002,II FITTO SANGIOVESE DOC CORTONA 2013,12, 0.750 ,14.00%,22042111,ไวน์,IT,1301020100GLD000000320140701,01/08/2018,หลัก,,,,,,,,,,,,,,,,ฟิตโต2 แซงโกรงวีส,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-003,II FITTO AMPELOS ROSSO DI TOSCANA 2013 ,12, 0.750 ,12.50%,22042111,ไวน์,IT,1301020100GLE000000LX0140701,01/08/2018,หลัก,,,,,,,,,,,,,,,,ฟิตโต2 ไซร่า แอมเพอรอส,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
